insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (1, 53, 14, 23, 8, 4, 59, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (2, 15, 12, 4, 2, 2, 33, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (3, 37, 17, 5, 4, 2, 37, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (4, 2, 19, 1, 1, 2, 22, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (5, 34, 17, 28, 7, 3, 38, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (6, 38, 20, 14, 5, 2, 66, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (7, 35, 18, 18, 3, 2, 16, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (8, 19, 12, 7, 1, 2, 17, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (9, 4, 9, 3, 3, 2, 65, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (10, 58, 5, 27, 1, 3, 87, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (11, 57, 10, 13, 11, 4, 81, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (12, 37, 8, 7, 3, 3, 20, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (13, 37, 17, 24, 7, 4, 76, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (14, 8, 14, 3, 8, 1, 67, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (15, 22, 7, 7, 11, 1, 14, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (16, 50, 16, 19, 9, 4, 58, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (17, 47, 9, 22, 9, 2, 64, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (18, 13, 6, 9, 8, 1, 16, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (19, 49, 9, 11, 3, 2, 52, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (20, 28, 2, 3, 1, 2, 11, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (21, 30, 12, 27, 12, 4, 65, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (22, 33, 6, 15, 6, 1, 53, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (23, 40, 16, 17, 10, 2, 19, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (24, 13, 0, 8, 12, 3, 45, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (25, 48, 21, 4, 10, 4, 12, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (26, 10, 4, 29, 9, 1, 37, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (27, 23, 7, 6, 5, 4, 39, 2023);
