insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (1, 602, 317, 20, 63, 1, 9, 676.94, 6092.46);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (2, 818, 779, 34, 243, 2, 5, 513.73, 2568.65);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (3, 253, 348, 71, 19, 1, 1, 117.59, 117.59);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (4, 629, 485, 99, 226, 4, 3, 74.87, 224.61);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (5, 92, 817, 71, 13, 2, 9, 125.33, 1127.97);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (6, 51, 234, 87, 242, 4, 9, 520.1, 4680.9);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (7, 748, 61, 93, 203, 1, 2, 227.81, 455.62);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (8, 546, 530, 92, 30, 2, 9, 315.17, 2836.53);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (9, 831, 460, 100, 15, 2, 9, 216.03, 1944.27);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (10, 791, 384, 64, 46, 1, 10, 216.16, 2161.6);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (11, 931, 765, 37, 116, 2, 8, 605.92, 4847.36);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (12, 698, 437, 95, 250, 3, 1, 312.88, 312.88);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (13, 98, 477, 56, 77, 4, 9, 987.27, 8885.43);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (14, 272, 373, 17, 97, 1, 2, 30.51, 61.02);
